Broad_Category,Sub_category,Platform,Threat,Link,Description
VirWare,Email-Worm,VBS,SSIWG,https://threats.kaspersky.com/en/threat/Email-Worm.VBS.SSIWG/,"['This is ', ' -like Internet worm spreading via', '\ne-mail by sending infected messages from infected computers. While', '\nspreading, the worm uses MS Outlook and sends itself to all addresses that', '\nare stored in the MS Outlook Address Book.', 'The known worm version has a mistake (one instruction is mistyped), and the', '\nworm is not able to spread its copies via e-mail messages. In addition to this,', '\nthe mistake may be easily fixed, and the worm will be able to spread.', 'The worm is able to propagate through a local network. To do this, the worm', '\nenumerates network resources and copies itself to there. The worm is not', '\nable to activate itself on a remote computer, and infects it only in case the', '\nworm copy is occasionally run by a user.', 'The worm itself is a VBS script program.', 'The worm arrives as an e-mail message with:', 'Upon being activated by a user, the worm copies itself to the Windows system', '\ndirectory with the same name (Y072QWV.VBS) and registers this copy in', '\nthe auto-run section in the system registry:', 'where “Windir” is the name of Windows system directory.', 'The worm then spreads through a local network by copying its “Y072QWV.VBS”', '\nfile to the root directory on drives shared for writing.', 'To send infected messages, the worm connects to MS Outlook, obtains all', '\naddresses from the address book and sends to there its messages (the subject, body', '\nand attachment name are the same as listed above).', 'Because the worm registers itself in the auto-run registry section, it is', '\nactivated upon each Windows boot-up, but it does not spread by e-mail', '\nmessages each time it is run. The worm has a counter that is stored in', '\nthe Windows registry:', 'where “number” is the number of starts (upon each start, the worm increases', '\nthis counter). When the counter reaches 20, the worm resets it to zero and then', '\nruns an Outlook infection routine. Otherwise, the worm skips it.', 'As a result, the worm sends infected messages only upon the first run (being', '\nactivated from an infected message), and upon each 20th reboot. The local', '\nnetwork spreading routine is activated each time the worm starts.', 'The worm has a feature that makes its detection a little bit more', '\ndifficult. All text strings in the worm code are slightly encrypted, and in', '\ncase of need, the worm decrypts and uses them.']"
VirWare,Email-Worm,VBS,Scrapworm,https://threats.kaspersky.com/en/threat/Email-Worm.VBS.Scrapworm/,"['This is the Internet worm that was found in the wild in the middle of June 2000. The worm spreads via e-mail by sending infected messages from affected computers. While spreading, the worm uses MS Outlook and sends itself to addresses that are randomly selected from MS Outlook Address Book.', 'The worm is written in the scripting language “Visual Basic Script” (VBS). It works only on computers on which the Windows Scripting Host (WSH) is installed. In Windows 98 and Windows 2000, WHS is installed by default. To', '\nspread itself, the worm accesses MS Outlook and uses its functions and address lists. That is available in Outlook 98/2000 only, so the worm is able to spread only in case one of these MS Oulook versions is installed.', 'When run, the worm sends its copies via e-mail, installs itself into the system and copies itself to network drives. The worm also has the ability to spread through mIRC channels.', 'The worm contains a “copyright” string:', 'The worm arrives to a computer as an e-mail message with an attached SHS file that is a scrap package with a worm inside. The message subject may be different, and it is combined from three sets of strings:', 'Examples:', 'The message body may be empty or one of these is present:', 'The message has the attached file “LIFE_STAGES.TXT.SHS” that contain worm inside.', 'Depending on system settings, the real extension of the attached file (“.SHS”) may not be shown. In this case, the filename of the attached file is displayed as “LIFE_STAGES.TXT”.', 'Being activated by a user (by double-clicking on the attached file), the scrap package (SHS-file) activates its content. As soon as the attached file contains the VBS file inside, containing a Visual Basic Script program, this file is executed and the worm’s script gains control.', 'The worm creates a text file in the temporary directory and displays it using the text editor. The file content is:', 'After that, the worm opens MS Outlook, gains access to the Address Book, obtains a hundred random addresses from each address list and sends messages with its attached copy to all of them. The message subject, body and attached file', '\nname are the same as the abovementioned.', 'The worm also installs itself into the system. It creates its copies in Windows directories with the names:', 'Then the worm creates its copies with random names in root directories of all local hard drives and also in the “Programs” and “My Documents” folders. If a Windows startup folder exists on the network drive, the worm copies itself there.', 'The worm also drops files:', 'As a result, the worm is re-activated each time Windows boots up or ICQ starts.', 'The worm scans local drives and looks for an MIRC.INI file. In case this file is found in a subdirectory, the worm drops a SOUND32B.DLL file there. This file contains mIRC instructions that send a worm copy (LIFE_STAGES.TXT.SHS', '\nfile) to all users that join the infected IRC channel. In MIRC.INI, the file worm adds the reference to SOUND32B.DLL into the “rfiles” section.', 'The worm moves the REGEDIT.EXE program into the Recycle bin with the name RECYCLED.VXD.']"
VirWare,Email-Worm,Win32,3DStars,https://threats.kaspersky.com/en/threat/Email-Worm.Win32.3DStars/,"['This is an Internet worm that spreads via e-mail as an attached EXE file. The worm itself is a Win32 executable file about 70Kb in length, and written in VisualBasic. The worm has many bugs, and in many cases (in all cases in any environment?), doesn’t work properly: the worm file is not attached to outgoing messages, and the message text appears different from what the worm intends.', 'To spread from an affected computer, the worm uses MS Outlook, obtains addresses from the MS Outlook Address Book as well as from the Windows Address Book, and sends messages there. The worm also sends an infected message to vb.master@angelfire.com each time the spreading routine is run.', 'The message Subject and Body should appear as follows (these do not because of a bug in worm code). The [%CurrentDate%] here is the current date.', 'When the worm’s EXE file is being run from the attachment, it copies itself to the Windows and Windows system directories with SysTray.exe and SysCheck.exe as names, and registers these files in the Windows registry auto-run section:', 'note: the original SYSTRAY.EXE is located in the Windows system directory, not in the Windows directory as the worm does.', 'To hide its activity, the worm displays the following message:', 'where %ApplicationName% is the worm’s file name.', 'On the 4th of any month, upon being executed before 5 a.m., the worm overwrites the C:AUTOEXEC.BAT file with a Trojan that erases all files in the “C:My Documents” and *.DLL files in the C:Windows directories.  The Trojan code also displays the following messages:', 'The worm also have backdoor component that “opens” affected computer for a remote hacker. The backdoor routine allows:', 'The worm code contains the text “3DStars server”, thus giving the worm name its name.']"
VirWare,Email-Worm,Win32,SysClock,https://threats.kaspersky.com/en/threat/Email-Worm.Win32.SysClock/,"['This is an Internet worm (virus of the worm type) spreading via e-mails,', '\nIRC channels, infecting files on local computers and spreading itself to', '\na local network. It also steals system passwords (PWL files) from infected', '\ncomputers, as well as has many harmless and dangerous payload routines. The', '\nworm itself is about 80Kb in size Win32 (PE EXE – Portable Executable)', '\nprogram written in Delphi, the “pure” worm code occupies about 20Kb and the', '\nrest is Delphi runtime library code, data, and the program’s miscellaneous', '\ninformation.', 'The worm arrives as an e-mail with a fake message (see below) and attached', '\nPKZIP.EXE file that is the worm program itself. When the worm is', '\nexecuted, it installs itself into the system, infects files on a local drive,', '\ninfects available logical drives, infects installed mIRC client, and sends', '\ninfected e-mails by using the Eudora mail system.', 'To install itself into the system, the worm copies itself with the', '\nKERNEL.EXE name into the Windows directory (on Win95/98 machines) or to', '\nthe Windows system directory (on WinNT), and registers itself in the system', '\nregistry auto-run key:', 'The worm also has an additional installation routine that installs the worm', '\ncopies to all available drives. This routine is described below.', 'The worm is able to infect about 40 files on a computer, and infects no', '\nmore than four files on each run. The worm infects files in the', '\nWindows directory:', 'The worm then infects programs that are associated with registry keys:', 'While infecting each file, the worm uses the companion infection method: it renames a victim file with eight-bytes randomly named and .EXE', '\nextension (for example: GTGUQPPA.EXE, XOHSKVXQ.EXE, etc.) and places', '\nitself with the name of original file. As a result, the worm copy will be', '\nexecuted each time a user or system runs the infected file.', 'To return control back to the host file, the worm stores the file names in', '\nthe registry key HKCUAppEventsSchemesApps.DefaultSystemStartWindows,', '\nfor example:', 'This information can be used to disinfect the computer.', 'To detect already infected files, the worm uses the FileVersion that is', '\nstored in PE EXE file resources. In infected files, this variable is set to', '\n“1.3.5.7”.', 'The worm also copies itself and “registers” to available logical drives:', '\nremovable, fixed and network. While infecting removable files, the worm', '\nlooks for the AUTOEXEC.BAT file on them, adds an instruction to run the', '\nPKZIP.EXE file upon loading from the drive, and copies itself to the drive', '\nwith the PKZIP.EXE file name.', 'Upon infecting hard drives, the worm looks for the PKZIP.EXE file in the root', '\ndirectories on these drives, and copies itself with this name if such a file', '\ndoes not exits there. To run this file, the worm creates the AUTORUN.INF', '\nfile on the drive and writes a block of instructions to there to run the', '\nPKZIP.EXE file (worm copy) upon the next Windows star-tup:', 'While infecting a remote drive, the worm first of all checks this drive for', '\nwritten permission. To do this, the worm creates the TEMP9385.058 file in', '\nthere, and deletes it. In case no errors occurred during operation, the worm', '\ncontinues spreading to the drive. It copies itself to there with the', '\nPKZIP.EXE name and creates the AUTORUN.INF file in the same way as while', '\naffecting fixed drives on local computer. In addition, the worm looks for', '\nWindows and WinNT directories on the drive and registers its PKZIP.EXE', '\ncopy in the WIN.INI file in [windows] “run” instruction. This operation', '\nalso causes worm-copy execution on the next Windows start-up.', 'While infecting network drives, the worm also destroys several executable', '\nfiles there, if they exist, and overwrites them with its copy:', 'This routine is executed depending on the system time, not each time the', '\ninfected files run. It looks for mIRC client installed in the system by', '\naccessing mIRC script file in the directories:', 'If no such files exist, the worm leaves infection routine. Otherwise it', '\noverwrite the SCRIPT.INI file with instruction that sends the C:PKZIP.EXE', '\nfile to everybody entering the affected channel.', 'This routine is executed depending on the system time, as well as mIRC', '\ninfection routine. First of all the worm gets the Eudora directory name by', '\naccessing the registry key: SoftwareQualcommEudoraCommandLine. The worm', '\nthen scans the Eudora outgoing mails database (the OUT.MBX files), gets', '\naddresses from there and stores them in the list the infected message will', '\nbe sent to. It seems that the worm also adds the “support@microsoft.com”', '\nemail address to this list.', 'The worm then prepares the C:USER.MSG file that will be used then to', '\ninitialize Eudora sendmail system. The worm writes to there all necessary', '\ndata to send the message with infected attach:', 'The worm then opens the C:USER.MSG file by a Windows function that', '\nactivates Eudora sendmail.', 'While installing into the system and infecting files the worm also looks', '\nfor Windows password files (.PWL files), reads passwords data from there', '\nand attaches to infected file body.', 'The worm does not send the passwords to any Internet address, but just', '\nkeeps them attached to the infected files. As a result the stolen passwords', '\nleave the computer only in case the worm spreads its copies to Internet or', '\nIRC channels.', 'The worm has many payload routines that are activated depending on the', '\nsystem date and time. The worm by these routines:', '– Halts the computer by launching unlimited number of threads.', '– Overwrites the .DEFAULTSoftwareMicrosoftRegEdt32Settings registry', '\nkey with “AutoRefresh=0” value.', '– Changes the Internet Explorer settings. By rewriting the', '\nSOFTWAREMicrosoftInternet ExplorerMain registry keys the worms sets the', '\n“Start Page” to “http://www.whitehouse.com/” and “Search Page” to', '\n“http://www.bigboobies.com”, and disables Internet cache updating.', 'By rewriting the SOFTWAREMicrosoftInternet ExplorerSearchUrl and', '\nSOFTWAREMicrosoftInternet ExplorerTypedURLs registry keys the worm sets', '\nthe “http://www.gayextreme.com/queer/handle-it.html” Web page to first', '\nposition of recently used Web pages; sets “SearchURL” to', '\n“http://www.fetishrealm.com/fatgirls/pic3.htm”;', '– By rewriting the SoftwareMirabilisICQBookmarks registry key sets:', '\n', '– Deletes all keys from', '– Sets Windows settings:', '– Creates C:POEM1.TXT or C:POEM2.TXT files, writes one of the texts to', '\nthere (see below), and opens them with NOTEPAD.EXE. The texts looks as', '\nfollows:', 'The worm’s payload routines also erase or modify miscellaneous Windows', '\nsettings, minimize Backup and ScanDisk settings, erase Registry backup,', '\ne.t.c.']"
VirWare,Net-Worm,Linux,cheese,https://threats.kaspersky.com/en/threat/Net-Worm.Linux.cheese/,"['This is an Internet worm that replicates between systems that were previously hacked by the ', ' Linux worm, and not the “Lion” or “Adore” worms as it is stated in other various descriptions, or the worm itself.', '\n(see the text below) “Cheese” will also act as a “security patch” that removes the backdoors added by previous attacks, but it will not remove or patch the vulnerabilities used to hack the respective systems; thus, the machines will still remain vulnerable to the original attack(s) used to compromise them. The worm contains the following text:', 'No matter how good the original intention of the author was, “Cheese” remains a piece of replicative “malware” that eats up resources such as CPU, memory, disk space or Internet bandwidth from infected systems; thus,', '\nremaining a “bad thing”.', 'The worm consists of three program files named “cheese”, “go” and “psm”. “go” is the worm’s “entrypoint”, that basically executes the main worm body, “cheese”, in such a way that makes it immune to signals, which might attempt to halt it. “cheese”, a 2Kylobytes-long Perl script, is the main part of the', '\nworm, the one responsible for the replication. ', 'When run, it will first scan “/etc/inetd.conf” for services attempting to execute “/bin/sh”, mostly', '\nroot-shell backdoors, and remove them. Obviously, if a root shell has been added to the newer-style “/etc/xinetd.conf”, the worm will not', '\nnotice it, and leave it untouched.', 'Next, it will generate a random 16-bit', '\nIP base, such as “a” and “b” in the “a.b.x.y”, then it will use an external Linux ELF program to scan the respective Internet IP class for hosts listening on port 10008. Usually, these are hosts that have been previously', '\nhacked by the ', ' worm, hosts that run an open root shell on the', '\nrespective port. ', 'So, when such a host is found, the worm will execute a', '\nsmall installation script on the remote host that will create a directory named “/tmp/.cheese”, and it will launch an instance of the popular Lynx browser to download a copy of the worm from the infected system. The worm itself will listen for the connection attempt on the source system, and', '\nforward an UUE-encoded copy of itself to the remote caller. The installation script running on the target system will decode the worm body, unpack it in the “/tmp/.cheese” directory, and eventually execute the “go” script to', '\nlaunch the worm, which propagates the infection further.']"
Adware,None,AndroidOS,Ewind,https://threats.kaspersky.com/en/threat/Adware.AndroidOS.Ewind/,"['Adware of this family shows advertising banners on the infected device and inserts ads in browsers. Some modifications of AdWare.AndroidOS.Ewind insert ads in social networking apps.', '\n', '* Percentage among all unique Kaspersky users worldwide attacked by this adware']"
VirWare,Virus,Boot,JindraBoot,https://threats.kaspersky.com/en/threat/Virus.Boot.JindraBoot/,"['\nIt is a very dangerous memory resident boot virus. It hooks INT 13h and', '\nwrites itself to boot sectors of floppy disks and C: drive. On 101st', '\ninfection the virus erases disk sectors and the CMOS. The virus contains', '\nthe text:', '\n']"
VirWare,Email-Worm,Win32,Silly,https://threats.kaspersky.com/en/threat/Email-Worm.Win32.Silly/,"['This worm spreads via the Internet as an attachment to infected messages. It sends itself to email addresses harvested from the victim computer.', 'The worm itself is a PE EXE file 15462 bytes in size, written in Visual Basic. ', 'When installing, the worm copies itself to the Fonts folder in the Windows root directory under a random name:', 'The worm also registers itself in the system registry, ensuring that it will be launched each time Windows is rebooted on the victim machine:', 'The worm modifies the following system registry entries:', 'The worm sends itself to addresses harvested from the MS Windows address books on the victim machine. ']"
TrojWare,Trojan,Win32,Waldek,https://threats.kaspersky.com/en/threat/Trojan.Win32.Waldek/,"['Trojan.Win32.Waldek is a multifunctional Trojan with a modular architecture. Also known as Gootkit and XswKit. The main logic of the Trojan is written in JavaScript (JS) and is run in the context of Node.js, which allows running JS code outside of a browser. The Trojan itself, which is large (approximately 5 MB) due to the built-in JS interpreter, is downloaded by a smaller loader Trojan-Downloader.Win32.Gootkit distributed via the Angler EK exploit pack.', 'Functionality of the Trojan is aimed at stealing banking information and depends on which modules are installed:', '\n', '* Percentage among all unique Kaspersky users worldwide attacked by this malware']"
VirWare,Email-Worm,VBS,Talorm,https://threats.kaspersky.com/en/threat/Email-Worm.VBS.Talorm/,"[' is a worm virus spreading via the Internet as an attachment to infected emails and copies itself to IRC channels. The worm itself is a CHM file (compressed HTML file) about 17KB', '\nin length.', '\nInfected messages have the following features:', '\n The Subject Line text is randomly selected from the following variants:', '\n The body text is randomly selected from the following variants:', '\nAn example of a “Talorm” email message:', '\n', 'The worm activates from infected emails only when a user clicks on the attached file. If this happens Talorm then installs itself to the system and runs its spreading routine.', '\nThe worm then overwrites a registry key with new text:', '\nand displays the message:', '\n', '\n', '\nWhile installing the worm copies itself to the Windows directory with the “Thalia.chm” name and', '\nregisters this file in the system registry auto-run key:', '\nTo send infected messages the worm uses MS Outlook and sends messages to all addresses found in each victim machine’s Outlook address book.', '\nThe worm looks for the mIRC subdirectory in the “Program Files” directory and writes a new “script.ini”', '\nfile to this location. This script file has instructions that send worm copies to every user who joins an infected IRC channel.']"
Malware,Constructor,MSWord,NTVCK,https://threats.kaspersky.com/en/threat/Constructor.MSWord.NTVCK/,"['This is a Word2000 macro-virus construction tool. The constructor itself is a', '\nWord2000 document that contains 14 modules:', 'When run, the constructor displays a picture containing the text ', ' It then displays a menu with many future', '\nvirus settings. The tool allows chooses replicating methods,', '\npolymorphic, stealth mechanisms, and many different types of effects.', 'The constructor then requests a virus name, and creates a virus source code.']"
VirWare,Email-Worm,Win32,Swen,https://threats.kaspersky.com/en/threat/Email-Worm.Win32.Swen/,"['\n', ' is a very dangerous worm-virus that spreads across the Internet via email (in the form of an infected file attachment), the Kazaa file sharing network, IRC channels, and open network resources. ', '\n', ' is written in Microsoft Visual C++ and is 105KB (106496 Bytes) in size.', '\nThe worm activates when a victim launches the infected file (double clicking on the file attachment) or when a victim machine’s email application is vulnerable to the IFrame.FileDownload vulnerability (also exploited by the Internet worms ', ' and ', '). Once run, ', ' installs itself in the system and begins its propogation routine.', '\nYou can download the patch released in March 2001 for the IFrame vulnerability:  ', '.', '\nThe worm blocks many anti-virus programs and firewalls. Its algorithm and parts of the code text are almost identical to that of another Internet worm called ', ', although the programming language used is different. ', '\n', '\nWhen first launched, the worm may display the “Microsoft Internet Update Pack” message box. Then it imitates patch installation:', '\nThe worm then copies itself under one of the names below into the Windows directory. The name may consist of several parts.', '\n', '\n', '\n', '\nThe new file is registered in the Windows system registry auto-run key:', '\nAn identification key is created, which contains the worms’ configuration settings:', '\nThe worm then creates a file named after the infected host machine with a BAT extension in the Windows folder. The file contains following the commands:', '\nThen the worm changes the key values in HKLMSoftwareClasses in such a way so as to hook onto execution every time the BAT, COM, EXE, PIF, REG and SCR file types are launched.', '\nDisables user capability to edit the system registry:', '\nWhen first launched, the worm accesses the following remote website:', '\nThis counter indicates the number of infected computers.', '\nWhen attempting to execute a new copy of the worm on the already infected machine the worm displays the following message:', '\nThe worm scans all disks for files with extensions DBX, MDX, EML, WAB and also that contain either HT or ASP in the extension. ', ' then extracts any email addresses that it can find and saves them in a file named ', '.', '\nThe worm attempts to connect to one of 350 servers identified in the file ', ', in order to send infected emails. If connection is impossible the worm then displays the following error message about a MAPI 32 Exception:', '\nand requests a correct email address, as well as a correct SMTP server.', '\n', '\nThe worm mails itself to all available addresses using a direct connection to an SMTP server. The infected emails are in HTML format and contain an attachment (the actual worm).', '\n', '\nFor example:', '\n', '\n', '\n', '\n', '\n', '\nThe actual content of the body may be less complicated, depending on various circumstances.', '\nIn some cases the worm may send copies of itself in archived form – ZIP or RAR.', '\n', '\nSwen propagates via the Kazaa file-sharing network by copying itself under random names in the file exchange directory in Kazaa Lite.  It also creates a subdirectory in the Windows Temp folder with random names making several copies of itself with random names as well.  ', '\nThis folder is identified in the Windows system registry as Local Content for Kazaa file-sharing system.', '\nAs a result, the new files created by Swen become available to other Kazaa network users. ', '\n', '\nThe worm scans for installed mIRC client. If it’s detected Swen then modifies the script.ini file by adding its propagation procedures. Whereupon the scrip.ini file sends the infected file from the Windows directory to all users that connect to the now-infected IRC channel.', '\n', '\nThe worm scans all available drives. If it finds a network drive it copies itself there in the following folders under a random name:', '\n', '\nThe worm attempts to block the launch and work of various anti-virus software and firewalls:', 'When these are launched ', ' displays the following fake error mesage:']"
VirWare,Virus,Boot,Musicbug,https://threats.kaspersky.com/en/threat/Virus.Boot.Musicbug/,"['\nThis is like a ', ' Boot infector. It contains the text “MusicBug Made in Taiwan”. Whenever disks are accessed the virus tunes some melodies.', '\nIt also hooks INT 13h.']"
VirWare,Virus,Boot,PurpleCum,https://threats.kaspersky.com/en/threat/Virus.Boot.PurpleCum/,"['This is a not dangerous boot virus, it hooks INT 10h, 40h and infects boot', '\nsectors of floppies only. It lowercases all letters are printed to screen.']"
VirWare,Virus,MSWord,Apparition,https://threats.kaspersky.com/en/threat/Virus.MSWord.Apparition/,"['\nThis is quite a primitive virus. It is dropped by Windows EXE virus', '\n“Win.Apparition”. It contains three macros: WWUpdated, AutoOp (AutoOpen),', '\nFileOpen.', '\n', '\nWWUpdated is the virus ID-macro. The virus detects its presence in the', '\nsystem by using this name. Macro AutoOp (AutoOpen in NORMAL.DOT) installs', '\nthe virus macros into the system on opening an infected file. Macro', '\nFileOpen infects files on opening.', '\n', '\nThe virus contains the text strings, but does not use them in any way:', '\n']"
VirWare,Virus,MSWord,Apmrs,https://threats.kaspersky.com/en/threat/Virus.MSWord.Apmrs/,"['\nThis is a polymorphic macro virus. It infects Word97 documents. It contains', '\nonly one macro: AdvancedPolymorphicMacroReplicationSystem.']"
